ARTIST_ID,ALBUM_ID,ALBUM_NAME,ALBUM_YEAR,ALBUM_POPULARITY
3RGLhK1IP9jnYFH4BRFJBS,48xJ1Xj8V4snc0am3T0SoF,"Sound System",2013,60
3RGLhK1IP9jnYFH4BRFJBS,3Zkggi5I9uH5x94DuN6u1S,"Hits Back",2013,70
3RGLhK1IP9jnYFH4BRFJBS,3un5bLdxz0zKhiZXlmnxWE,"Live At Shea Stadium",2008,35
3RGLhK1IP9jnYFH4BRFJBS,4dMWTj1OkiCKFN5yBMP1vS,"Live at Shea Stadium",2008,38
3RGLhK1IP9jnYFH4BRFJBS,70NjH8NkxcbYNvWAHnyv1e,"From Here to Eternity: Live",1999,40
3RGLhK1IP9jnYFH4BRFJBS,3E01XjnmC1HdxTE8dPuEkn,"Cut The Crap",1985,26
3RGLhK1IP9jnYFH4BRFJBS,1ZH5g1RDq3GY1OvyD0w0s2,"Combat Rock",1982,61
3RGLhK1IP9jnYFH4BRFJBS,2UxN3UKyS3Z5r0Sra8A5RF,"Sandinista!",1980,50
3RGLhK1IP9jnYFH4BRFJBS,3TZuLZx0zB3Q45aQXDswb9,"London Calling (Legacy Edition)",1979,49
3RGLhK1IP9jnYFH4BRFJBS,6FCzvataOZh68j8OKzOt9a,"London Calling",1979,65
3RGLhK1IP9jnYFH4BRFJBS,4NEvCc6vHcsCPviWPCCrVg,"Give 'Em Enough Rope",1978,41
3RGLhK1IP9jnYFH4BRFJBS,49kzgMsxHU5CTeb2XmFHjo,"The Clash",1977,54
1dfeR4HaWDbWqFHLkxsg1d,5wTdQlDnvBtUO3ptbwqeyz,"Live at the Rainbow ‘74",2014,45
1dfeR4HaWDbWqFHLkxsg1d,6g8ggVFiHMeQ3q55pCdi1G,"Forever",2014,54
1dfeR4HaWDbWqFHLkxsg1d,2nTP7Q6V06ATrZ2A4vUWo1,"Forever (Deluxe Edition)",2014,54
1dfeR4HaWDbWqFHLkxsg1d,2IY3Ty8CrUyvpibt8AcZmp,"Queen Rock Montreal",2007,48
1dfeR4HaWDbWqFHLkxsg1d,4fODEKBcruDGTihYHvBXBD,"Made in Heaven (Deluxe Remastered Version)",1995,42
1dfeR4HaWDbWqFHLkxsg1d,3uk2r2tVRHy9L15rHJhD2S,"Live At Wembley Stadium",1992,44
1dfeR4HaWDbWqFHLkxsg1d,2LC6PPb29hs8rkPHBjUVXJ,"Innuendo (Deluxe Remastered Version)",1991,48
1dfeR4HaWDbWqFHLkxsg1d,0kCPII9EM5eqHHCRo1EVjs,"The Miracle (Deluxe Remastered Version)",1989,45
1dfeR4HaWDbWqFHLkxsg1d,6QYnikkyKvjmFtTiZVeCW7,"A Kind of Magic (Deluxe Remastered Version)",1986,46
1dfeR4HaWDbWqFHLkxsg1d,7oHaj9jkWHByziQsqGAb8V,"The Works (Deluxe Remastered Version)",1984,51
1dfeR4HaWDbWqFHLkxsg1d,0xc5IpJM39eEEYSKDrm5kf,"Hot Space (Deluxe Remastered Version)",1982,37
